id,speaker_id,emotion,rank,strict_top1,negative_emotion,delta,outcome
A001,13,angry,4,False,happy,-0.001711753457719567,loss
A001,13,angry,4,False,sad,-0.004981204672244388,loss
A001,13,angry,4,False,neutral,-0.004066544476713396,loss
A002,21,neutral,1,True,happy,5.779768113978179e-05,win
A002,21,neutral,1,True,sad,0.010990388467914336,win
A002,21,neutral,1,True,angry,0.00468808474127691,win
A003,13,angry,1,True,happy,0.0003670111991134206,win
A003,13,angry,1,True,sad,0.0036012773062656933,win
A003,13,angry,1,True,neutral,0.001687245840558127,win
A004,21,angry,1,True,happy,0.004240630215659458,win
A004,21,angry,1,True,sad,0.0027467519000365925,win
A004,21,angry,1,True,neutral,0.005053080194949544,win
A005,13,sad,3,False,happy,-0.0014226718373331337,loss
A005,13,sad,3,False,angry,0.0003611451389060605,win
A005,13,sad,3,False,neutral,-0.0052548402612702105,loss
A006,21,angry,3,False,happy,-0.006000685538260164,loss
A006,21,angry,3,False,sad,0.00044905737421974123,win
A006,21,angry,3,False,neutral,-0.001211514391486368,loss
A007,13,sad,3,False,happy,-0.0027160451597518787,loss
A007,13,sad,3,False,angry,0.0021369076625958883,win
A007,13,sad,3,False,neutral,-0.0020250342115444298,loss
A008,21,neutral,1,True,happy,0.007173990020029386,win
A008,21,neutral,1,True,sad,0.0010340046241514855,win
A008,21,neutral,1,True,angry,0.013661939338946993,win
A009,21,neutral,1,True,happy,0.011294663745026412,win
A009,21,neutral,1,True,sad,0.004945042453898374,win
A009,21,neutral,1,True,angry,0.012775133796380622,win
A010,21,happy,2,False,sad,0.002917859877815232,win
A010,21,happy,2,False,angry,0.0011754300031414644,win
A010,21,happy,2,False,neutral,-0.005362046109549823,loss
A011,20,angry,2,False,happy,0.0037072562959554745,win
A011,20,angry,2,False,sad,0.005818036955544059,win
A011,20,angry,2,False,neutral,-0.003205749296410154,loss
A012,02,happy,2,False,sad,0.005469638496741425,win
A012,02,happy,2,False,angry,0.004918215507181856,win
A012,02,happy,2,False,neutral,-0.004326278818002294,loss
A013,02,happy,2,False,sad,0.007347991223659811,win
A013,02,happy,2,False,angry,0.004873500186174162,win
A013,02,happy,2,False,neutral,-0.004433538728784825,loss
A014,21,happy,3,False,sad,3.524082154449104e-05,win
A014,21,happy,3,False,angry,-0.0004241845762953389,loss
A014,21,happy,3,False,neutral,-0.004222225659759715,loss
A015,13,angry,1,True,happy,0.01320205890473769,win
A015,13,angry,1,True,sad,0.025104376261254835,win
A015,13,angry,1,True,neutral,0.011375437685221534,win
A016,20,angry,2,False,happy,0.004079950457421155,win
A016,20,angry,2,False,sad,-3.170403582863912e-05,loss
A016,20,angry,2,False,neutral,0.003068899067809383,win
A018,20,happy,2,False,sad,0.0055226048139846995,win
A018,20,happy,2,False,angry,0.0017173332995268353,win
A018,20,happy,2,False,neutral,-0.0004067249395056649,loss
A020,02,angry,1,True,happy,0.00701812091048204,win
A020,02,angry,1,True,sad,0.01596940786731338,win
A020,02,angry,1,True,neutral,0.0022634926793587695,win
A021,02,sad,4,False,happy,-0.005189399496408065,loss
A021,02,sad,4,False,angry,-0.01130889857103945,loss
A021,02,sad,4,False,neutral,-0.011103007845107982,loss
A022,02,sad,2,False,happy,-0.0015383523870058369,loss
A022,02,sad,2,False,angry,0.0008213058239485704,win
A022,02,sad,2,False,neutral,0.0007134747556847287,win
A023,20,sad,1,True,happy,0.006771117730385967,win
A023,20,sad,1,True,angry,0.005209010981342743,win
A023,20,sad,1,True,neutral,0.004564891445625108,win
A024,20,happy,1,True,sad,0.008102718690810029,win
A024,20,happy,1,True,angry,0.00794243180716947,win
A024,20,happy,1,True,neutral,0.008379205912518728,win
A028,20,sad,2,False,happy,0.0021598385618188942,win
A028,20,sad,2,False,angry,0.0033650860098051183,win
A028,20,sad,2,False,neutral,-0.00643233597270676,loss
A029,13,happy,2,False,sad,0.0024346068449139224,win
A029,13,happy,2,False,angry,0.0004714307056978839,win
A029,13,happy,2,False,neutral,-0.003351828509540411,loss
A030,13,happy,2,False,sad,0.0024471978489675195,win
A030,13,happy,2,False,angry,0.006320932527406953,win
A030,13,happy,2,False,neutral,-0.001521010788211541,loss
