trajectory,round,bleu_4,rouge_l,meteor,spider,fense,bertscore,clapscore,paraspeechcaps,stylecap
qwen_v1,base,1.6591790508401503e-06,0.471306053659437,0.16754216197355445,0.10091866261786309,0.9293687335285514,0.7302864193916321,,0.5519089878375597,0.5867609254498715
qwen_v1,r0,1.6306528994935481e-06,0.4702976852984482,0.16710175749576933,0.1008316060692106,0.9290212756027639,0.7302953600883484,,0.5508632240775098,0.5832262210796915
qwen_v1,r1,1.6413248909516082e-06,0.4709820387149459,0.16765241398257327,0.100952877124974,0.9303892846024674,0.7294811010360718,,0.5430484528698813,0.5825835475578406
qwen_v1,r2,1.6171710705878758e-06,0.47147142437638245,0.16704298394077483,0.10085067850521398,0.9318704945735823,0.7293329834938049,,0.5506676286676286,0.583547557840617
qwen_v1,r3,1.5388135140712273e-06,0.4698567264941827,0.1664244618497692,0.10064407178425551,0.9305601057269649,0.7302680015563965,,0.5499679447536593,0.5825835475578406
qwen_v1,r4,1.5091677170795156e-06,0.4695358808943899,0.16604860075934216,0.10050938353440181,0.9279556554052235,0.7283154129981995,,0.5489782347282347,0.5861182519280206
midasheng_v1,base,1.165828070677223e-06,0.2645554464881846,0.09364280243789828,0.053341088483191836,0.8716476425659848,0.6908627152442932,,0.2337674140767881,0.4045629820051414
midasheng_v1,r0,1.2160513180748035e-06,0.2666635791052825,0.09420745663700378,0.053770241275358226,0.871502472561465,0.6916311979293823,,0.23504957941557586,0.4023136246786633
midasheng_v1,r1,1.346113042536617e-06,0.2733342783222686,0.09533070019352936,0.05590140370648681,0.8744034160351494,0.690589964389801,,0.2478707476451565,0.40359897172236503
midasheng_v1,r2,1.1584644618870736e-06,0.27435373784108824,0.09652146850828833,0.056245047503480874,0.8743964104654876,0.6905595660209656,,0.26560134740833774,0.4055269922879177
midasheng_v1,r3,1.256329376750835e-06,0.2732324205276648,0.09715159088764706,0.0561539360465508,0.8766727247004561,0.6910956501960754,,0.28397306358701685,0.41516709511568123
midasheng_v1,r4,1.17057333274471e-06,0.27564125221875724,0.0977111478593999,0.056955484810263954,0.8795124806475306,0.6921553611755371,,0.2929488441881107,0.41002570694087404
midasheng_v1,r5,1.279545708511611e-06,0.27913986930912577,0.09910881831943466,0.05777992019548704,0.8788635275010435,0.6922181248664856,,0.29331516489543097,0.4093830334190231
