run,round,round_commit_exists,groups,candidates,semantic_valid,semantic_groups,format_groups,sft_selected,all_finite_reconstruction_n,all_finite_reconstruction_mean,all_finite_reconstruction_std,all_finite_reconstruction_min,all_finite_reconstruction_p05,all_finite_reconstruction_median,all_finite_reconstruction_p95,all_finite_reconstruction_max,valid_reconstruction_n,valid_reconstruction_mean,valid_reconstruction_std,valid_reconstruction_min,valid_reconstruction_p05,valid_reconstruction_median,valid_reconstruction_p95,valid_reconstruction_max,valid_z_reconstruction_n,valid_z_reconstruction_mean,valid_z_reconstruction_std,valid_z_reconstruction_min,valid_z_reconstruction_p05,valid_z_reconstruction_median,valid_z_reconstruction_p95,valid_z_reconstruction_max,valid_counterfactual_n,valid_counterfactual_mean,valid_counterfactual_std,valid_counterfactual_min,valid_counterfactual_p05,valid_counterfactual_median,valid_counterfactual_p95,valid_counterfactual_max,valid_semantic_reward_n,valid_semantic_reward_mean,valid_semantic_reward_std,valid_semantic_reward_min,valid_semantic_reward_p05,valid_semantic_reward_median,valid_semantic_reward_p95,valid_semantic_reward_max,within_group_rec_range_n,rec_top1_matches_reward_top1,rec_comparison_groups,anchor_penalty_positive_candidates,paired_n,paired_rec_wins,paired_rec_ties,paired_reward_wins,pooled_reconstruction_auc,pooled_semantic_reward_auc,paired_positive_rec_n,paired_positive_rec_mean,paired_positive_rec_std,paired_positive_rec_min,paired_positive_rec_p05,paired_positive_rec_median,paired_positive_rec_p95,paired_positive_rec_max,paired_negative_rec_n,paired_negative_rec_mean,paired_negative_rec_std,paired_negative_rec_min,paired_negative_rec_p05,paired_negative_rec_median,paired_negative_rec_p95,paired_negative_rec_max,paired_rec_difference_n,paired_rec_difference_mean,paired_rec_difference_std,paired_rec_difference_min,paired_rec_difference_p05,paired_rec_difference_median,paired_rec_difference_p95,paired_rec_difference_max,within_group_rec_range_mean,within_group_rec_range_std,within_group_rec_range_min,within_group_rec_range_p05,within_group_rec_range_median,within_group_rec_range_p95,within_group_rec_range_max
midasheng_v2,0,True,184,736,2,0,184,0,2,-4.385483074188232,0.3352949619293213,-4.7207780361175535,-4.687248539924622,-4.385483074188232,-4.083717608451843,-4.050188112258911,2,-4.385483074188232,0.3352949619293213,-4.7207780361175535,-4.687248539924622,-4.385483074188232,-4.083717608451843,-4.050188112258911,2,0.0,1.0,-1.0,-0.9,0.0,0.8999999999999999,1.0,2,0.0002588334374031831,0.009694535919021696,-0.009435702481618513,-0.008466248889716343,0.0002588334374031831,0.008983915764522708,0.00995336935642488,2,-0.059162637598575984,1.0591626375985759,-1.118325275197152,-1.0124090114372943,-0.059162637598575984,0.8940837362401421,1.0,0,,0,1,39,24,0,22,0.504930966469428,0.5489809335963182,39,-3.407078983233525,0.753929046333054,-5.926282453536987,-4.765309453010559,-3.233433246612549,-2.5052316749095915,-2.277802217006683,39,-3.4111155189000644,0.753432350920995,-5.926298666000366,-4.76556471824646,-3.2336079597473146,-2.503954435586929,-2.3396057963371275,39,0.004036535666539071,0.02098211632280334,-0.038511228561401545,-0.022732527256011804,0.0014577865600582385,0.06182078838348386,0.06584689617157036,,,,,,,
midasheng_v2,1,True,184,736,1,0,184,0,2,-3.327467954158783,0.29677263498306283,-3.624240589141846,-3.5945633256435396,-3.327467954158783,-3.0603725826740265,-3.03069531917572,1,-3.03069531917572,0.0,-3.03069531917572,-3.03069531917572,-3.03069531917572,-3.03069531917572,-3.03069531917572,1,4.040584884475822,0.0,4.040584884475822,4.040584884475822,4.040584884475822,4.040584884475822,4.040584884475822,1,0.012564107746625197,0.0,0.012564107746625197,0.012564107746625197,0.012564107746625197,0.012564107746625197,0.012564107746625197,1,2.654942435389093,0.0,2.654942435389093,2.654942435389093,2.654942435389093,2.654942435389093,2.654942435389093,0,,0,0,39,23,0,23,0.5016436554898094,0.534516765285996,39,-3.404714232530349,0.7539176163947583,-5.925087833404541,-4.762200942039489,-3.2281491994857787,-2.5034631288051603,-2.2729453444480896,39,-3.404760842445569,0.7504120848172425,-5.9239521503448485,-4.755324978828431,-3.2323705673217775,-2.509310172796249,-2.2816903829574584,39,4.660991521976125e-05,0.016051910768111327,-0.037473225593566806,-0.023623232841491412,0.0016877174377438742,0.01993682384490938,0.04725255966186559,,,,,,,
midasheng_v2,2,True,184,736,3,0,184,0,3,-2.7613832553227744,0.27815297642358333,-3.1003564357757565,-3.0667952799797056,-2.7647448778152466,-2.453618094921112,-2.4190484523773192,3,-2.7613832553227744,0.27815297642358333,-3.1003564357757565,-3.0667952799797056,-2.7647448778152466,-2.453618094921112,-2.4190484523773192,3,4.843794280475384,0.8295769635877106,3.832824182677027,3.932918605816989,4.833768414076649,5.761688061612894,5.864790244672477,3,0.017182729450145057,0.009149294107069932,0.005647798048813879,0.0068703627432659346,0.01787344499333443,0.027011595276791624,0.028026945308286866,3,3.294754601085066,0.06044148080481304,3.2103333679843353,3.2218365940961577,3.325365629102558,3.3462448884617295,3.348564806168304,0,,0,0,39,23,0,23,0.5036160420775806,0.6180144641683103,39,-3.4023794733561,0.7537562388067001,-5.924041032791138,-4.758806772232056,-3.2307172536849977,-2.4986898827552793,-2.2719742178916933,39,-3.4078403781621884,0.751226283398361,-5.9243677139282225,-4.750952906608581,-3.239738321304321,-2.51988254070282,-2.286329209804535,39,0.005460904806088176,0.015146866538913464,-0.023092031478881836,-0.00826026439666765,0.0025000572204589844,0.038819723129272676,0.05555825233459499,,,,,,,
midasheng_v2,3,True,184,736,2,0,184,0,2,-3.8208455085754394,1.0808585643768311,-4.9017040729522705,-4.793618216514587,-3.8208455085754394,-2.8480728006362916,-2.739986944198608,2,-3.8208455085754394,1.0808585643768311,-4.9017040729522705,-4.793618216514587,-3.8208455085754394,-2.8480728006362916,-2.739986944198608,2,1.6840025342576306,3.2236051450265197,-1.539602610768889,-1.217242096266237,1.6840025342576306,4.585247164781498,4.90760767928415,2,-0.004337046591221805,0.006884177917635403,-0.011221224508857208,-0.010532806717093668,-0.004337046591221805,0.0018587135346500583,0.0025471313264135986,2,0.543672972923971,1.2036409987281087,-0.6599680258041378,-0.539603925931327,0.543672972923971,1.6269498717792688,1.7473139716520798,0,,0,2,39,18,0,16,0.4983563445101907,0.4983563445101907,39,-3.400036195302621,0.7502950647912381,-5.912285995483399,-4.75091561794281,-3.228132104873657,-2.499578043222427,-2.278867721557617,39,-3.4000913916490014,0.7509634772641882,-5.913452863693237,-4.753834881782532,-3.2589127779006954,-2.5038719403743745,-2.2819671630859375,39,5.519634638077401e-05,0.013644994731399763,-0.024639606475830078,-0.018030660152435506,-0.0010968208312984729,0.023655583858490314,0.0406719446182251,,,,,,,
midasheng_v2,4,True,184,736,8,0,184,0,8,-3.3679088413715363,0.6031246072355441,-4.110601139068604,-4.104401648044586,-3.310629117488861,-2.468814572095871,-2.2483642578125,8,-3.3679088413715363,0.6031246072355441,-4.110601139068604,-4.104401648044586,-3.310629117488861,-2.468814572095871,-2.2483642578125,8,3.034862877036596,1.7987881588351455,0.8198212509306133,0.8383109144446275,3.205696711082542,5.7163653490755,6.373847086990313,8,-0.003561712287003249,0.022862220553084737,-0.05542545318603498,-0.04433633443942046,0.004761819785055188,0.01593589977757277,0.01729275185381507,8,1.04876027241711,2.2347788506757307,-3.4878553503855563,-2.8180454119131357,1.946639578346451,3.295190347470019,3.3861873936516247,0,,0,2,39,18,0,19,0.4996712689020381,0.44641683103221563,39,-3.3975764916493345,0.7492666415624846,-5.905566167831421,-4.749166769981384,-3.2300514698028566,-2.4941214311122892,-2.282166028022766,39,-3.3925540994375183,0.7494590040840772,-5.907893133163452,-4.74434916973114,-3.219066691398621,-2.489309946298599,-2.2757288098335264,39,-0.005022392211816264,0.019195749150253374,-0.07394127845764142,-0.04089369535446141,-0.0006017208099367011,0.012720515727996531,0.031130528450011852,,,,,,,
midasheng_v2,5,True,184,736,13,0,184,0,14,-3.4561349127973826,0.8370276696322074,-5.14302282333374,-4.625975754261017,-3.440423011779785,-2.323581642508507,-1.5771737694740295,13,-3.4887319243871246,0.8600191239494911,-5.14302282333374,-4.665748605728149,-3.534695863723755,-2.2661656522750873,-1.5771737694740295,13,2.6745142385710485,2.564962858376558,-2.2593233873439287,-0.8358775507011524,2.537429150646825,6.320755342455422,8.375638239700667,13,-0.00047660869093518315,0.008021739776191004,-0.010674859861106611,-0.01038554879120035,-0.001019307653260526,0.011619308449130191,0.013031323386684779,13,1.255236500018917,1.4054569945769297,-1.1955823886562318,-0.7677317619420121,0.9115608217086593,3.418964885796167,4.484205173737806,0,,0,3,39,20,0,23,0.5029585798816568,0.559500328731098,39,-3.3916701387136405,0.7479815557780853,-5.903447055816651,-4.736905512809753,-3.223785924911499,-2.489392223358154,-2.2739491820335385,39,-3.3936424016952516,0.7475893801286251,-5.911439323425293,-4.736252198219299,-3.230598044395447,-2.5032318961620326,-2.2757492303848266,39,0.0019722629816104364,0.017181153819071083,-0.026347231864929377,-0.023440327644348447,0.0003864765167236328,0.028913345336914004,0.06103770732879621,,,,,,,
midasheng_v2,6,True,184,736,10,1,183,0,10,-3.4102186417579654,0.4415928893468302,-4.3913716793060305,-4.081796543598175,-3.3586193084716793,-2.859922609329224,-2.6434916019439694,10,-3.4102186417579654,0.4415928893468302,-4.3913716793060305,-4.081796543598175,-3.3586193084716793,-2.859922609329224,-2.6434916019439694,10,2.9086760708198436,1.3170281080451072,-0.017562462268787382,0.9057294772418116,3.062568431711214,4.549905719074269,5.195400080635471,10,0.013426250383362648,0.03128235015031572,-0.008830615138411435,-0.00814030813824702,0.0013258254707246842,0.07191605810836117,0.09956607624079528,10,2.082661847477943,1.8471157044577102,-0.4149400296027993,0.03301282726618626,1.920025301665528,5.105370306023509,6.654220345830433,1,1.0,1,2,39,22,0,22,0.5029585798816568,0.5562130177514792,39,-3.3875221451123556,0.7475228231076322,-5.8974748134613035,-4.729576044082641,-3.227034091949463,-2.4798781228065487,-2.269103467464447,39,-3.391563706825941,0.7445628109663844,-5.891288757324219,-4.733895201683044,-3.2300896644592285,-2.49333621263504,-2.2831626772880553,39,0.004041561713585498,0.02140396519921393,-0.043953466415405096,-0.03255567789077749,0.002803874015807839,0.039988880157470555,0.07282755374908456,0.2050635814666748,0.0,0.2050635814666748,0.2050635814666748,0.2050635814666748,0.2050635814666748,0.2050635814666748
midasheng_v2,7,True,184,736,10,0,184,0,10,-3.4169591593742368,0.7860569106778361,-5.2898602962493895,-4.965646328926086,-3.0599021077156063,-2.8541700887680053,-2.822269010543823,10,-3.4169591593742368,0.7860569106778361,-5.2898602962493895,-4.965646328926086,-3.0599021077156063,-2.8541700887680053,-2.822269010543823,10,2.888572823286727,2.344374356700097,-2.6972586073386813,-1.7303071045253282,3.9534771379954483,4.567062316143661,4.662205643202977,10,0.003574397087366332,0.022110312270522257,-0.04843159927629603,-0.030194905098269807,0.004593170697205773,0.030151114894399082,0.03749400645503975,10,1.4952671432891653,1.2614175011894466,-1.5909712528924511,-0.6177281046981552,1.701291002771631,2.8097990928830194,2.922783895556906,0,,0,2,39,19,0,24,0.5036160420775806,0.6252465483234714,39,-3.3814108038559936,0.7447945939957623,-5.888965034484864,-4.7193992328643795,-3.2158011913299562,-2.480160048007965,-2.2722529649734495,39,-3.387978507922246,0.7407164562544724,-5.88132643699646,-4.713736248016358,-3.2267960786819456,-2.476815739870071,-2.3294035315513613,39,0.006567704066252138,0.0210865497677206,-0.022828102111816406,-0.015778130292892323,-0.0001241207122806287,0.05630379319190935,0.07306861877441406,,,,,,,
midasheng_v2,8,True,184,736,16,0,184,0,17,-3.260621727915371,0.8170109756089369,-5.125827741622925,-4.400845975875854,-3.0877813577651976,-2.1572335577011112,-1.4475582361221313,16,-3.2852325327694416,0.8360199510134021,-5.125827741622925,-4.446157336235046,-3.197294235229492,-2.1128788501024247,-1.4475582361221313,16,3.2814407203968625,2.4933865579215935,-2.2080399394451806,-0.18095786974456152,3.5437121754582313,6.777925355660019,8.762209909629965,16,0.0075579953290162705,0.021860803794974973,-0.028020737025602926,-0.02115456701984597,0.006143523111112659,0.03378327389539881,0.07865039643734617,16,1.8963451729217662,1.7726417027852497,-1.8060519225708493,-1.349270605670951,1.6273765659271766,4.888553986987588,5.13608451474238,0,,0,5,39,24,0,26,0.5042735042735043,0.6140696909927679,39,-3.3740538493180883,0.7419230226276359,-5.876598501205445,-4.706915245056153,-3.214057898521423,-2.472944277524948,-2.2620657324790954,39,-3.378609583928035,0.7404746554371736,-5.882065916061402,-4.702806358337402,-3.24396493434906,-2.486812481880188,-2.2780460834503176,39,0.0045557346099461965,0.015299584336098052,-0.03577973842620841,-0.015043287277221793,0.0029845476150511807,0.03309386014938385,0.04203164577484131,,,,,,,
midasheng_v2,9,True,184,736,21,0,184,0,21,-3.7794984828858147,0.8642061028111048,-5.4032763004302975,-5.2548017501831055,-3.745150089263916,-2.3873489022254946,-1.5747741341590882,21,-3.7794984828858147,0.8642061028111048,-5.4032763004302975,-5.2548017501831055,-3.745150089263916,-2.3873489022254946,-1.5747741341590882,21,1.8073179143984759,2.577450307748065,-3.0355160136781643,-2.5926982946380264,1.9097602339139699,5.959332524608394,8.382795028759274,21,-0.004230999317415483,0.03663285020624402,-0.14949590840413673,-0.03735327843620828,0.0007504251150480812,0.03343927532456359,0.048321053566096506,21,0.41184456621610804,3.1548661167654397,-11.574817822910134,-1.879982966412821,0.8970199439585033,3.6360967712170753,5.397286559340973,0,,0,6,39,15,0,23,0.49769888231426695,0.5502958579881657,39,-3.3680523175459642,0.7398220885522855,-5.869994115829468,-4.696642141342163,-3.2139913558959963,-2.4697983813285824,-2.2668163776397705,39,-3.36841486784128,0.7380607967542442,-5.867583990097046,-4.686876864433289,-3.215009832382202,-2.4675724923610685,-2.264249002933502,39,0.00036255029531622867,0.010045492224160667,-0.014841556549072266,-0.012312734127044677,-0.0020576953887938565,0.022682664394378896,0.026538062095641912,,,,,,,
