round,loop,target_model,target_precision,min_recall,pool_groups,eligible_groups,selected,actual_selected_90,threshold,status,empirical_precision,empirical_recall,accepted_positives,accepted_negatives
0,caption_only,Captioner,0.9,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
0,caption_only,Captioner,0.85,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
0,caption_only,Captioner,0.8,0.25,196,196,121,0,0.3226326957758817,calibrated,0.8260869565217391,0.48717948717948717,19,4
0,caption_only,Captioner,0.75,0.25,196,196,151,0,-0.05384294878149881,calibrated,0.7878787878787878,0.6666666666666666,26,7
0,caption_only,Captioner,0.7,0.25,196,196,177,0,-0.4592281380062706,calibrated,0.7083333333333334,0.8717948717948718,34,14
0,caption_only,Captioner,no_gate,,196,196,196,0,,no_absolute_gate,,,,
0,audio_only,TTS,0.9,0.25,184,95,0,0,,no_high_precision_operating_point,,,,
0,audio_only,TTS,0.85,0.25,184,95,0,0,,no_high_precision_operating_point,,,,
0,audio_only,TTS,0.8,0.25,184,95,0,0,,no_high_precision_operating_point,,,,
0,audio_only,TTS,0.75,0.25,184,95,0,0,,no_high_precision_operating_point,,,,
0,audio_only,TTS,0.7,0.25,184,95,0,0,,no_high_precision_operating_point,,,,
0,audio_only,TTS,no_gate,,184,95,95,0,,no_absolute_gate,,,,
1,caption_only,Captioner,0.9,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
1,caption_only,Captioner,0.85,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
1,caption_only,Captioner,0.8,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
1,caption_only,Captioner,0.75,0.25,196,196,137,0,0.1793101661137894,calibrated,0.75,0.6153846153846154,24,8
1,caption_only,Captioner,0.7,0.25,196,196,164,0,-0.16259326969169818,calibrated,0.7209302325581395,0.7948717948717948,31,12
1,caption_only,Captioner,no_gate,,196,196,196,0,,no_absolute_gate,,,,
1,audio_only,TTS,0.9,0.25,184,97,0,0,,no_high_precision_operating_point,,,,
1,audio_only,TTS,0.85,0.25,184,97,0,0,,no_high_precision_operating_point,,,,
1,audio_only,TTS,0.8,0.25,184,97,0,0,,no_high_precision_operating_point,,,,
1,audio_only,TTS,0.75,0.25,184,97,0,0,,no_high_precision_operating_point,,,,
1,audio_only,TTS,0.7,0.25,184,97,31,0,0.3710809835093838,calibrated,0.7,0.358974358974359,14,6
1,audio_only,TTS,no_gate,,184,97,97,0,,no_absolute_gate,,,,
2,caption_only,Captioner,0.9,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
2,caption_only,Captioner,0.85,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
2,caption_only,Captioner,0.8,0.25,196,196,68,0,0.8166927137403946,calibrated,0.8125,0.3333333333333333,13,3
2,caption_only,Captioner,0.75,0.25,196,196,92,0,0.5595315296925417,calibrated,0.7727272727272727,0.4358974358974359,17,5
2,caption_only,Captioner,0.7,0.25,196,196,179,0,-0.47546017138622804,calibrated,0.7083333333333334,0.8717948717948718,34,14
2,caption_only,Captioner,no_gate,,196,196,196,0,,no_absolute_gate,,,,
2,audio_only,TTS,0.9,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
2,audio_only,TTS,0.85,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
2,audio_only,TTS,0.8,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
2,audio_only,TTS,0.75,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
2,audio_only,TTS,0.7,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
2,audio_only,TTS,no_gate,,184,111,111,0,,no_absolute_gate,,,,
3,caption_only,Captioner,0.9,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
3,caption_only,Captioner,0.85,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
3,caption_only,Captioner,0.8,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
3,caption_only,Captioner,0.75,0.25,196,196,106,0,0.5291613743820633,calibrated,0.75,0.38461538461538464,15,5
3,caption_only,Captioner,0.7,0.25,196,196,116,0,0.35657690147920895,calibrated,0.7037037037037037,0.48717948717948717,19,8
3,caption_only,Captioner,no_gate,,196,196,196,0,,no_absolute_gate,,,,
3,audio_only,TTS,0.9,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
3,audio_only,TTS,0.85,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
3,audio_only,TTS,0.8,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
3,audio_only,TTS,0.75,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
3,audio_only,TTS,0.7,0.25,184,111,0,0,,no_high_precision_operating_point,,,,
3,audio_only,TTS,no_gate,,184,111,111,0,,no_absolute_gate,,,,
4,caption_only,Captioner,0.9,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
4,caption_only,Captioner,0.85,0.25,196,196,66,0,0.8428604387200643,calibrated,0.8666666666666667,0.3333333333333333,13,2
4,caption_only,Captioner,0.8,0.25,196,196,97,0,0.5948189803869373,calibrated,0.8260869565217391,0.48717948717948717,19,4
4,caption_only,Captioner,0.75,0.25,196,196,140,0,0.1285825380876442,calibrated,0.7666666666666667,0.5897435897435898,23,7
4,caption_only,Captioner,0.7,0.25,196,196,183,0,-0.62208812003282,calibrated,0.7,0.8974358974358975,35,15
4,caption_only,Captioner,no_gate,,196,196,196,0,,no_absolute_gate,,,,
4,audio_only,TTS,0.9,0.25,184,108,0,0,,no_high_precision_operating_point,,,,
4,audio_only,TTS,0.85,0.25,184,108,0,0,,no_high_precision_operating_point,,,,
4,audio_only,TTS,0.8,0.25,184,108,0,0,,no_high_precision_operating_point,,,,
4,audio_only,TTS,0.75,0.25,184,108,0,0,,no_high_precision_operating_point,,,,
4,audio_only,TTS,0.7,0.25,184,108,0,0,,no_high_precision_operating_point,,,,
4,audio_only,TTS,no_gate,,184,108,108,0,,no_absolute_gate,,,,
5,caption_only,Captioner,0.9,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
5,caption_only,Captioner,0.85,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
5,caption_only,Captioner,0.8,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
5,caption_only,Captioner,0.75,0.25,196,196,116,0,0.44223213078107093,calibrated,0.7586206896551724,0.5641025641025641,22,7
5,caption_only,Captioner,0.7,0.25,196,196,153,0,0.09269496270494851,calibrated,0.7027027027027027,0.6666666666666666,26,11
5,caption_only,Captioner,no_gate,,196,196,196,0,,no_absolute_gate,,,,
5,audio_only,TTS,0.9,0.25,184,122,0,0,,no_high_precision_operating_point,,,,
5,audio_only,TTS,0.85,0.25,184,122,0,0,,no_high_precision_operating_point,,,,
5,audio_only,TTS,0.8,0.25,184,122,0,0,,no_high_precision_operating_point,,,,
5,audio_only,TTS,0.75,0.25,184,122,0,0,,no_high_precision_operating_point,,,,
5,audio_only,TTS,0.7,0.25,184,122,0,0,,no_high_precision_operating_point,,,,
5,audio_only,TTS,no_gate,,184,122,122,0,,no_absolute_gate,,,,
6,caption_only,Captioner,0.9,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
6,caption_only,Captioner,0.85,0.25,196,196,80,0,0.8042876509384649,calibrated,0.8571428571428571,0.46153846153846156,18,3
6,caption_only,Captioner,0.8,0.25,196,196,135,0,0.35598526530556773,calibrated,0.8,0.6153846153846154,24,6
6,caption_only,Captioner,0.75,0.25,196,196,162,0,-0.00416214272662363,calibrated,0.75,0.8461538461538461,33,11
6,caption_only,Captioner,0.7,0.25,196,196,174,0,-0.2178657898385438,calibrated,0.7,0.8974358974358975,35,15
6,caption_only,Captioner,no_gate,,196,196,196,0,,no_absolute_gate,,,,
6,audio_only,TTS,0.9,0.25,184,118,0,0,,no_high_precision_operating_point,,,,
6,audio_only,TTS,0.85,0.25,184,118,0,0,,no_high_precision_operating_point,,,,
6,audio_only,TTS,0.8,0.25,184,118,0,0,,no_high_precision_operating_point,,,,
6,audio_only,TTS,0.75,0.25,184,118,0,0,,no_high_precision_operating_point,,,,
6,audio_only,TTS,0.7,0.25,184,118,0,0,,no_high_precision_operating_point,,,,
6,audio_only,TTS,no_gate,,184,118,118,0,,no_absolute_gate,,,,
7,caption_only,Captioner,0.9,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
7,caption_only,Captioner,0.85,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
7,caption_only,Captioner,0.8,0.25,196,196,0,0,,no_high_precision_operating_point,,,,
7,caption_only,Captioner,0.75,0.25,196,196,99,0,0.6269650766466686,calibrated,0.75,0.38461538461538464,15,5
