round,role,rank,groups,cost,unit,peak_allocated_gib
0,Captioner,0,23,16083,sampled_tokens,18.371275424957275
0,Captioner,1,23,15812,sampled_tokens,18.410561561584473
0,Captioner,2,23,15105,sampled_tokens,17.759119510650635
0,Captioner,3,23,16168,sampled_tokens,18.568933486938477
0,Captioner,4,23,15514,sampled_tokens,18.225456714630127
0,Captioner,5,23,15898,sampled_tokens,18.19339370727539
0,Captioner,6,23,14789,sampled_tokens,17.96370840072632
0,Captioner,7,23,16477,sampled_tokens,18.04115343093872
0,TTS,0,25,8462,codec_frames,5.028562545776367
0,TTS,1,25,8831,codec_frames,5.072710990905762
0,TTS,2,25,7113,codec_frames,4.736164093017578
0,TTS,3,25,7963,codec_frames,5.0297722816467285
0,TTS,4,24,7035,codec_frames,4.977062225341797
0,TTS,5,24,10959,codec_frames,5.133469104766846
0,TTS,6,24,5333,codec_frames,4.7104010581970215
0,TTS,7,24,8838,codec_frames,5.046356201171875
1,Captioner,0,23,16086,sampled_tokens,17.76559066772461
1,Captioner,1,23,16350,sampled_tokens,17.885298252105713
1,Captioner,2,23,14919,sampled_tokens,17.66271734237671
1,Captioner,3,23,14549,sampled_tokens,17.592116832733154
1,Captioner,4,23,15232,sampled_tokens,17.60617733001709
1,Captioner,5,23,14370,sampled_tokens,17.544254302978516
1,Captioner,6,23,15159,sampled_tokens,17.803273677825928
1,Captioner,7,23,16052,sampled_tokens,17.739468097686768
1,TTS,0,25,8369,codec_frames,5.0994157791137695
1,TTS,1,25,8933,codec_frames,5.153573989868164
1,TTS,2,25,6937,codec_frames,4.842287063598633
1,TTS,3,25,7770,codec_frames,5.082985877990723
1,TTS,4,24,6947,codec_frames,4.995038986206055
1,TTS,5,24,10802,codec_frames,5.1850409507751465
1,TTS,6,24,5500,codec_frames,4.631657600402832
1,TTS,7,24,8697,codec_frames,5.104592323303223
2,Captioner,0,23,16218,sampled_tokens,18.073570251464844
2,Captioner,1,23,14825,sampled_tokens,17.46457576751709
2,Captioner,2,23,15514,sampled_tokens,17.65308427810669
2,Captioner,3,23,15844,sampled_tokens,17.84995126724243
2,Captioner,4,23,16011,sampled_tokens,17.597391605377197
2,Captioner,5,23,16764,sampled_tokens,17.96629285812378
2,Captioner,6,23,15147,sampled_tokens,17.437336921691895
2,Captioner,7,23,16421,sampled_tokens,18.010757446289062
2,TTS,0,25,8311,codec_frames,5.070931434631348
2,TTS,1,25,8672,codec_frames,5.113398551940918
2,TTS,2,25,7144,codec_frames,4.817219257354736
2,TTS,3,25,7876,codec_frames,5.164182186126709
2,TTS,4,24,6923,codec_frames,5.067140102386475
2,TTS,5,24,10861,codec_frames,5.231931686401367
2,TTS,6,24,5434,codec_frames,4.656728267669678
2,TTS,7,24,8880,codec_frames,5.105454444885254
3,Captioner,0,23,16177,sampled_tokens,17.881725311279297
3,Captioner,1,23,16250,sampled_tokens,17.611608505249023
3,Captioner,2,23,14885,sampled_tokens,17.680843830108643
3,Captioner,3,23,15556,sampled_tokens,17.87690830230713
3,Captioner,4,23,15108,sampled_tokens,17.417247772216797
3,Captioner,5,23,16302,sampled_tokens,17.71519422531128
3,Captioner,6,23,15028,sampled_tokens,17.645216941833496
3,Captioner,7,23,15643,sampled_tokens,17.847525596618652
3,TTS,0,25,8317,codec_frames,5.086865425109863
3,TTS,1,25,8902,codec_frames,5.140180587768555
3,TTS,2,25,7131,codec_frames,4.911209583282471
3,TTS,3,25,7680,codec_frames,5.087170124053955
3,TTS,4,24,6819,codec_frames,5.016976356506348
3,TTS,5,24,10985,codec_frames,5.228585720062256
3,TTS,6,24,5527,codec_frames,4.593061447143555
3,TTS,7,24,8622,codec_frames,5.11798095703125
4,Captioner,0,23,15995,sampled_tokens,17.840367794036865
4,Captioner,1,23,16407,sampled_tokens,17.798059940338135
