version,round,caption_sft_total,caption_sft_anchors,caption_sft_cycle,caption_sft_steps,world_size,caption_grpo_groups,semantic_groups,schema_groups,semantic_candidates,tts_cycle_pairs,audio_only_gate_auc,audio_only_gate_status,caption_only_gate_auc,caption_only_gate_status,raw_valid,input_valid,nonzero_semantic_groups
v1,0,274,78,196,69,4,123,,,,,,,,,,,
v1,1,274,78,196,69,4,122,,,,,,,,,,,
v1,2,274,78,196,69,4,87,,,,,,,,,,,
v1,3,274,78,196,35,8,127,,,,,,,,,,,
v1,4,274,78,196,35,8,143,,,,,,,,,,,
v1,5,274,78,196,35,8,158,,,,,,,,,,,
v1,6,274,78,196,35,8,161,,,,,,,,,,,
v1,7,274,78,196,35,8,167,,,,,,,,,,,
v1,8,274,78,196,35,8,171,,,,,,,,,,,
v1,9,274,78,196,35,8,173,,,,,,,,,,,
v2,0,78,78,0,10,8,184,0,184,2,0,0.5489809335963182,no_high_precision_operating_point,0.7587113740959894,no_high_precision_operating_point,,,
v2,1,78,78,0,10,8,184,0,184,1,0,0.534516765285996,no_high_precision_operating_point,0.7435897435897436,no_high_precision_operating_point,,,
v2,2,78,78,0,10,8,184,0,184,3,0,0.6180144641683103,no_high_precision_operating_point,0.7738330046022354,no_high_precision_operating_point,,,
v2,3,78,78,0,10,8,184,0,184,2,0,0.4983563445101907,no_high_precision_operating_point,0.7192636423405654,no_high_precision_operating_point,,,
v2,4,78,78,0,10,8,184,0,184,8,0,0.44641683103221563,no_high_precision_operating_point,0.7758053911900066,no_high_precision_operating_point,,,
v2,5,78,78,0,10,8,184,0,184,13,0,0.559500328731098,no_high_precision_operating_point,0.727810650887574,no_high_precision_operating_point,,,
v2,6,78,78,0,10,8,184,1,183,10,0,0.5562130177514792,no_high_precision_operating_point,0.7876397107166337,no_high_precision_operating_point,,,
v2,7,78,78,0,10,8,184,0,184,10,0,0.6252465483234714,no_high_precision_operating_point,0.7238658777120316,no_high_precision_operating_point,,,
v2,8,78,78,0,10,8,184,0,184,16,0,0.6140696909927679,no_high_precision_operating_point,0.7587113740959894,no_high_precision_operating_point,,,
v2,9,172,78,94,22,8,184,0,184,21,0,0.5502958579881657,no_high_precision_operating_point,0.8573307034845496,calibrated,,,
v3,0,78,78,0,10,8,184,34,150,136,0,0.5522682445759369,no_high_precision_operating_point,0.7981591058514136,no_high_precision_operating_point,96,139,34
v3,1,78,78,0,10,8,184,32,152,137,0,0.5739644970414202,no_high_precision_operating_point,0.7646285338593031,no_high_precision_operating_point,82,138,32
v3,2,78,78,0,10,8,184,44,140,158,0,0.598948060486522,no_high_precision_operating_point,0.7836949375410914,no_high_precision_operating_point,101,161,44
v3,3,78,78,0,10,8,184,35,149,152,0,0.5713346482577252,no_high_precision_operating_point,0.7514792899408284,no_high_precision_operating_point,100,153,35
v3,4,78,78,0,10,8,184,40,144,152,0,0.46811308349769887,no_high_precision_operating_point,0.8139381985535832,no_high_precision_operating_point,99,152,40
v3,5,78,78,0,10,8,184,43,141,175,0,0.5542406311637081,no_high_precision_operating_point,0.7619986850756082,no_high_precision_operating_point,119,176,43
v3,6,78,78,0,10,8,184,51,133,179,0,0.5516107823800132,no_high_precision_operating_point,0.8224852071005917,no_high_precision_operating_point,109,179,51
v3,7,78,78,0,10,8,184,48,136,168,0,0.663379355687048,no_high_precision_operating_point,0.7271531886916502,no_high_precision_operating_point,107,168,48
v3,8,78,78,0,10,8,184,49,135,186,0,0.6272189349112426,no_high_precision_operating_point,0.7744904667981591,no_high_precision_operating_point,133,188,49
v3,9,187,78,109,24,8,184,55,129,203,0,0.571992110453649,no_high_precision_operating_point,0.8974358974358975,calibrated,147,203,55
