round_index,training_round,candidates,caption_batch_fallback_count,content_failed,content_passed,elapsed_seconds_this_invocation,empty_acoustic_conditions,format_mean,format_only_groups,groups,grpo_usable_groups,json_parseable,mean_group_reconstruction_span,raw_schema_valid,reconstruction_mean,reward_mean,sft_selected
0,1,3288,3288,1485,991,4016.523423228413,841,0.7461070559610705,159,411,388,2480,0.4053122465531225,2256,0.17404197080291972,0.2312484793187348,229
1,2,3288,3288,1545,980,10500.758972261101,794,0.7590936739659367,164,411,386,2526,0.37935928629359283,2278,0.15951946472019465,0.21947688564476886,224
2,3,3288,3288,1587,1041,10675.553699968383,696,0.7904197080291971,150,411,386,2630,0.3961881589618816,2382,0.16877027575020276,0.2309352189781022,236
3,4,3288,3288,1736,1019,10559.054449984804,581,0.8277676399026763,142,411,370,2757,0.37064071370640717,2469,0.16167376317923765,0.22828315085158152,231
4,5,3288,3288,1787,1081,10703.059347212315,465,0.8617396593673966,135,411,367,2868,0.409367396593674,2594,0.18937550689375507,0.2566119221411192,233
5,6,3288,3288,1874,1084,10563.646737448871,390,0.889720194647202,126,411,355,2960,0.3980129764801298,2682,0.18395174371451745,0.2545285888077859,233
6,7,3288,3288,1988,1041,10865.188936946914,299,0.9124391727493917,130,411,358,3031,0.38605028386050283,2771,0.16968268450932683,0.24395833333333333,230
7,8,3288,3288,1998,1066,10729.057956861332,268,0.9233272506082726,111,411,338,3067,0.33637469586374696,2815,0.15384225466342255,0.23079075425790754,232
8,9,3288,3288,2093,1000,10736.550002796575,231,0.9318126520681266,107,411,337,3096,0.3493511759935118,2826,0.1473286699107867,0.22577706812652068,233
9,10,3288,3288,2159,937,11141.26957147196,232,0.9324209245742093,114,411,335,3097,0.3448905109489051,2826,0.14149939172749393,0.22059154501216546,221
