version,training_round,round_index,et_spider,et_fense,paraspeechcaps,stylecap,source
base,0,,0.053341088483191836,0.8716476425659848,0.2337674140767881,0.4045629820051414,experiments/diagnostics/completed_caption_rounds_20260907/rounds.csv
v4,1,0,0.05465931392022879,0.8728671908842089,0.2270509063358034,0.40681233933161953,results/benchmarks/midasheng_v4_all_v5_round1_caption_4gpu_20260910_run01/summary.json
v4,2,1,0.05482103192051545,0.8751792754454586,0.22906680116282924,0.40777634961439585,results/benchmarks/midasheng_v4_all_v5_round1_caption_4gpu_20260910_run01/summary.json
v4,3,2,0.054293442341899194,0.8716907374348402,0.23872336723920842,0.4032776349614396,results/benchmarks/midasheng_v4_all_v5_round1_caption_4gpu_20260910_run01/summary.json
v4,4,3,0.054380525439864706,0.8682821137229045,0.248635085955275,0.40488431876606684,results/benchmarks/midasheng_v4_all_v5_round1_caption_4gpu_20260910_run01/summary.json
v4,5,4,0.05362895358283635,0.8660805884082433,0.24979740351040897,0.40681233933161953,results/benchmarks/midasheng_v4_all_v5_round1_caption_4gpu_20260910_run01/summary.json
v4,6,5,0.053898091649011076,0.8668455480602258,0.263192032700832,0.40424164524421596,results/benchmarks/midasheng_v4_all_v5_round1_caption_4gpu_20260910_run01/summary.json
v4,7,6,0.054004632612184175,0.8658865053706863,0.27182872147090886,0.40713367609254497,results/benchmarks/midasheng_v4_all_v5_round1_caption_4gpu_20260910_run01/summary.json
v5,1,0,0.05553500000010976,0.8754176624640706,0.23102233463518473,0.4045629820051414,results/benchmarks/midasheng_v4_all_v5_round1_caption_4gpu_20260910_run01/summary.json
v5,2,1,0.055084339075594804,0.8744959860993766,0.23086121986143543,0.4019922879177378,results/benchmarks/midasheng_v5_round001_caption_3gpu_run01/summary.json
v6,1,0,0.05474980643657663,0.8737491088435092,0.23096282625695835,0.4064910025706941,results/benchmarks/v6_caption_all_rounds_run01/summary.json
v6,2,1,0.05400317921558663,0.8711553137125655,0.23128966093717648,0.4045629820051414,results/benchmarks/v6_caption_all_rounds_run01/summary.json
v6,3,2,0.05429894623406476,0.8730569918548708,0.23190441968465839,0.40424164524421596,results/benchmarks/v6_caption_all_rounds_run01/summary.json
v6,4,3,0.05529714560124183,0.8737158980006193,0.22967599633112598,0.40263496143958866,results/benchmarks/v6_caption_all_rounds_run01/summary.json
v6,5,4,0.05464293411294787,0.8741759681435927,0.23073167013550586,0.40424164524421596,results/benchmarks/v6_caption_all_rounds_run01/summary.json
v6,6,5,0.0551388930700908,0.8744217200746432,0.22861135399163893,0.4045629820051414,results/benchmarks/v6_caption_all_rounds_run01/summary.json
v6,7,6,0.054751693307955686,0.8731370415416884,0.22984556376871162,0.40681233933161953,results/benchmarks/v6_caption_all_rounds_run01/summary.json
v6,8,7,0.0542836388848705,0.873471139189862,0.22809820226911878,0.4045629820051414,results/benchmarks/v6_caption_all_rounds_run01/summary.json
v6,9,8,0.054799386387976955,0.8728830711281689,0.2288870393693457,0.40167095115681234,results/benchmarks/v6_caption_all_rounds_run01/summary.json
v6,10,9,0.05519332575381588,0.8738229017050048,0.22900684424583853,0.40167095115681234,results/benchmarks/v6_caption_all_rounds_run01/summary.json
